code,name,email,address,phone
YCP,Aquila Logistics,info@aquilalogistics835.com,58 Rue Nationale Bordeaux,+33200742827
IWN,Lynx Solutions,hello@lynxsolutions52.com,193 Boulevard Carnot Bordeaux,+33575543852
OEK,Neon Distribution,office@neondistribution797.com,14 Rue du Commerce Rouen,+33382346434
ZTH,Lynx Distribution,service@lynxdistribution584.com,124 Rue Nationale Grenoble,+33573147357
VBS,Lynx Trading,billing@lynxtrading838.com,35 Rue de la Gare Nice,+33625178682
PGL,Horizon Trading,service@horizontrading747.com,147 Rue du Commerce Annecy,+33599055679
AHC,Neon Services,contact@neonservices773.com,196 Rue de la Gare Nice,+33444493374
DSA,Vega Trading,service@vegatrading229.com,116 Rue Pasteur Toulouse,+33544969094
NHD,Aquila Holdings,hello@aquilaholdings863.com,174 Rue des Acacias Lille,+33668657166
GBO,Krypton Trading,hello@kryptontrading353.com,190 Rue Pasteur Reims,+33877675188
THC,Orion Partners,sales@orionpartners299.com,12 Rue du Commerce Rennes,+33121009550
IQH,Aquila Distribution,contact@aquiladistribution819.com,88 Rue des Acacias Paris,+33975024773
GLP,Neon Holdings,hello@neonholdings303.com,16 Boulevard Carnot Bordeaux,+33576508358
AEL,Pioneer Industries,hello@pioneerindustries266.com,148 Avenue de la Republique Strasbourg,+33083076770
OHQ,Pioneer Solutions,admin@pioneersolutions401.com,162 Rue Pasteur Angers,+33690301748
FQC,Vertex Logistics,accounts@vertexlogistics17.com,131 Avenue de la Republique Toulouse,+33159756662
GRF,Mercury Partners,billing@mercurypartners239.com,91 Rue du Commerce Rouen,+33143689845
RJU,Cosmos Distribution,accounts@cosmosdistribution259.com,164 Rue du Commerce Lyon,+33286633174
GFZ,Vega Industries,billing@vegaindustries497.com,128 Avenue de la Republique Paris,+33171425434
YOX,Vertex Trading,contact@vertextrading547.com,95 Rue Pasteur Rouen,+33939671436
LVK,Aquila Solutions,admin@aquilasolutions488.com,128 Rue de la Gare Toulouse,+33298670039
AHL,Orion Trading,support@oriontrading128.com,188 Rue du Commerce Lille,+33665201775
XDR,Phoenix Solutions,info@phoenixsolutions910.com,157 Rue de la Paix Metz,+33801366298
YGV,Mercury Holdings,info@mercuryholdings387.com,23 Avenue Jean Jaures Marseille,+33002633891
MOD,Nimbus Services,support@nimbusservices270.com,144 Rue de la Gare Nice,+33447342373
SNB,Nimbus Logistics,admin@nimbuslogistics359.com,3 Rue Pasteur Marseille,+33374294532
INK,Helios Trading,support@heliostrading546.com,194 Avenue Jean Jaures Toulouse,+33663096033
URV,Aquila Partners,support@aquilapartners482.com,33 Rue de la Gare Tours,+33554347362
JGE,Nova Logistics,accounts@novalogistics905.com,199 Boulevard Carnot Brest,+33157281927
WIM,Cosmos Services,hello@cosmosservices844.com,162 Avenue Jean Jaures Tours,+33636499499
NTJ,Neon Solutions,admin@neonsolutions600.com,190 Rue de la Gare Nantes,+33871757933
MLU,Cosmos Partners,info@cosmospartners350.com,186 Boulevard Carnot Dijon,+33424657414
ROE,Orion Group,sales@oriongroup21.com,83 Avenue de la Republique Annecy,+33032167923
DOE,Pioneer Services,hello@pioneerservices95.com,197 Rue de la Paix Bordeaux,+33670896144
SNV,Nimbus Industries,hello@nimbusindustries101.com,64 Boulevard Carnot Nantes,+33153886976
FHI,Orion Logistics,support@orionlogistics770.com,117 Avenue Jean Jaures Nantes,+33451291441
GTS,Delta Solutions,office@deltasolutions516.com,28 Rue des Acacias Paris,+33299601970
SDD,Aquila Services,support@aquilaservices641.com,40 Rue Pasteur Tours,+33115298517
XOQ,Nimbus Group,support@nimbusgroup972.com,141 Rue Pasteur Reims,+33975037342
TAB,Vega Holdings,billing@vegaholdings26.com,141 Boulevard Carnot Caen,+33605101802
AOR,Orion Solutions,office@orionsolutions666.com,2 Rue Pasteur Dijon,+33769942408
YPW,Krypton Logistics,service@kryptonlogistics426.com,98 Rue du Commerce Lyon,+33833490556
XBG,Aquila Industries,office@aquilaindustries291.com,87 Boulevard Victor Hugo Brest,+33665280585
