transaction_number,invoice,name,date,debit_credit,account,amount
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,C,101,17111.19
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,D,607,1753.44
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,D,44562,350.69
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,C,401GRN,2104.13
000008,,Bank fees charged by Banque Meridian,16/10/2025,D,2907,3812.10
000008,,Bank fees charged by Banque Meridian,16/10/2025,D,311,1976.69
000008,,Bank fees charged by Banque Meridian,16/10/2025,C,1061,5788.79
000008,,Bank fees charged by Banque Meridian,16/10/2025,D,66,57.71
000008,,Bank fees charged by Banque Meridian,16/10/2025,C,5121,57.71
000008,,Bank fees charged by Banque Meridian,16/10/2025,D,6758,1083.90
000008,,Bank fees charged by Banque Meridian,16/10/2025,C,5124,1083.90
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,D,2908,6694.71
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,D,3222,815.75
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,C,168,7510.46
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,D,601,5144.24
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,D,44566,1028.85
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,C,401RED,6173.09
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,D,512,742.18
000009,INV2025-00009,Goods purchase from Inspire Studio,13/11/2025,C,765,742.18
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,D,28,13785.18
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,D,3951,4355.83
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,C,1061,18141.01
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,D,607,6087.79
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,D,44562,1217.56
000010,INV2025-00010,Goods purchase from Blue Mountain SARL,28/05/2025,C,401TAL,7305.35
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,D,2151,14075.04
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,D,355,6598.59
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,C,101,20673.63
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,D,6152,4903.84
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,D,44566,980.77
000011,INV2025-00011,Service expense from Jupiter Tools,14/10/2025,C,401BRC,5884.61
000012,,Exceptional expense paid,20/11/2025,D,211581,7767.37
000012,,Exceptional expense paid,20/11/2025,D,3225,4126.52
000012,,Exceptional expense paid,20/11/2025,C,164,11893.89
000012,,Exceptional expense paid,20/11/2025,D,6741,4092.35
000012,,Exceptional expense paid,20/11/2025,C,531,4092.35
000013,,Initial equipment and inventory setup,20/07/2025,D,2973,4422.51
000013,,Initial equipment and inventory setup,20/07/2025,D,3511,2668.65
000013,,Initial equipment and inventory setup,20/07/2025,C,164,7091.16
000014,,Initial equipment and inventory setup,12/06/2025,D,211,810.58
000014,,Initial equipment and inventory setup,12/06/2025,D,331,5188.37
000014,,Initial equipment and inventory setup,12/06/2025,C,168,5998.95
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,D,21318,6590.49
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,D,3312,5226.76
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,C,167,11817.25
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,D,601,5059.90
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,D,44566,1011.98
000015,INV2025-00015,Goods purchase from Pacific Parts,05/06/2025,C,401VIA,6071.88
000016,,Exceptional expense paid,12/11/2025,D,290,14809.25
000016,,Exceptional expense paid,12/11/2025,D,335,2343.28
000016,,Exceptional expense paid,12/11/2025,C,167,17152.53
000016,,Exceptional expense paid,12/11/2025,D,6781,2803.31
000016,,Exceptional expense paid,12/11/2025,C,531,2803.31
000017,,Exceptional expense paid,07/02/2025,D,2905,7411.16
000017,,Exceptional expense paid,07/02/2025,D,391,8953.92
000017,,Exceptional expense paid,07/02/2025,C,101,16365.08
000017,,Exceptional expense paid,07/02/2025,D,6758,756.71
000017,,Exceptional expense paid,07/02/2025,C,531,756.71
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,D,2801,11056.91
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,D,394,1305.95
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,C,168,12362.86
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,D,411XRY,9711.67
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,C,707,8093.06
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,C,44571,1618.61
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,D,66116,155.24
000018,INV2025-00018,Sales invoice to Xeno Clients,07/12/2025,C,531,155.24
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,203,11146.69
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,3911,6286.41
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,1061,17433.10
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,6226,4575.58
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,44566,915.12
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,401GMA,5490.70
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,401GMA,2434.86
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,512,2434.86
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,411WVA,14771.76
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,707,12309.80
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,44571,2461.96
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,66188,481.69
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,531,481.69
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,D,6712,1695.72
000019,INV2025-00019,Sales invoice to Keystone Customers,02/07/2025,C,512,1695.72
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,D,21355,13163.05
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,D,3955,1111.36
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,C,108,14274.41
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,D,626,1227.88
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,D,44566,245.58
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,C,401PRO,1473.46
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,D,66116,26.29
000020,INV2025-00020,Service expense from Cloud Nine IT,10/02/2025,C,5124,26.29
000021,,Initial equipment and inventory setup,19/06/2025,D,211581,9506.98
000021,,Initial equipment and inventory setup,19/06/2025,D,3581,6956.43
000021,,Initial equipment and inventory setup,19/06/2025,C,167,16463.41
000022,,Bank interest from Banque Meridian,12/08/2025,D,274,4150.80
000022,,Bank interest from Banque Meridian,12/08/2025,D,3945,4051.92
000022,,Bank interest from Banque Meridian,12/08/2025,C,101,8202.72
000022,,Bank interest from Banque Meridian,12/08/2025,D,512,666.21
000022,,Bank interest from Banque Meridian,12/08/2025,C,764,666.21
000022,,Bank interest from Banque Meridian,12/08/2025,D,5121,3708.53
000022,,Bank interest from Banque Meridian,12/08/2025,C,7783,3708.53
000023,,Initial equipment and inventory setup,21/12/2025,D,28081,4216.06
000023,,Initial equipment and inventory setup,21/12/2025,D,3261,511.29
000023,,Initial equipment and inventory setup,21/12/2025,C,161,4727.35
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,D,296,11841.22
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,D,3552,10261.67
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,C,101,22102.89
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,D,6061,3418.97
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,D,44562,683.79
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,C,401MOB,4102.76
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,D,411NRT,19175.76
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,C,703,15979.80
000024,INV2025-00024,Sales invoice to Umbra Retail,25/01/2025,C,44571,3195.96
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,D,2131,6777.06
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,D,3921,6073.80
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,C,167,12850.86
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,D,6061,3738.94
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,D,44566,747.79
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,C,401UNI,4486.73
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,D,411YOX,12628.78
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,C,702,10523.98
000025,INV2025-00025,Sales invoice to Iconic Apparel,04/08/2025,C,44571,2104.80
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,2113,5389.06
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,322,11928.19
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,C,168,17317.25
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,602,2775.92
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,44562,555.18
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,C,401SOL,3331.10
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,401SOL,1417.56
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,C,512,1417.56
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,D,411LIS,8178.43
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,C,702,6815.36
000026,INV2025-00026,Sales invoice to Harbor Imports,14/08/2025,C,44571,1363.07
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,2815,2679.75
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,37,3869.47
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,C,101,6549.22
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,626,458.99
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,44562,91.80
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,C,401FEN,550.79
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,411YGV,2427.62
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,C,702,2023.02
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,C,44571,404.60
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,D,6611,185.90
000027,INV2025-00027,Sales invoice to Driftwood Co,16/06/2025,C,531,185.90
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,276,13330.60
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,3935,4124.85
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,167,17455.45
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,601,6418.51
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,44562,1283.70
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,401RED,7702.21
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,411AHC,3285.78
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,703,2738.15
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,44571,547.63
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,665,349.10
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,512,349.10
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,D,6751,1860.60
000028,INV2025-00028,Sales invoice to Yonder Commerce,09/11/2025,C,531,1860.60
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,D,207,2012.68
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,D,3451,406.88
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,C,108,2419.56
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,D,6152,5194.04
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,D,44566,1038.81
000029,INV2025-00029,Service expense from Urban Catering,08/02/2025,C,401CLD,6232.85
000030,,Initial equipment and inventory setup,27/03/2025,D,2932,15395.28
000030,,Initial equipment and inventory setup,27/03/2025,D,33,1987.86
000030,,Initial equipment and inventory setup,27/03/2025,C,161,17383.14
000031,,Initial equipment and inventory setup,06/11/2025,D,25,11215.75
000031,,Initial equipment and inventory setup,06/11/2025,D,3917,350.96
000031,,Initial equipment and inventory setup,06/11/2025,C,168,11566.71
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,290,7584.93
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,3552,9967.62
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,C,164,17552.55
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,601,4286.20
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,44562,857.24
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,C,401WES,5143.44
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,401WES,3067.58
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,C,512,3067.58
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,D,411VBS,325.98
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,C,701,271.65
000032,INV2025-00032,Sales invoice to Summit Clients,11/07/2025,C,44571,54.33
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,D,278,5369.46
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,D,3585,3222.63
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,C,108,8592.09
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,D,6061,5649.74
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,D,44562,1129.95
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,C,401BSP,6779.69
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,D,411HRA,22198.00
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,C,702,18498.33
000033,INV2025-00033,Sales invoice to Quartz Customers,31/07/2025,C,44571,3699.67
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,2906,11788.47
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,345,7742.32
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,C,165,19530.79
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,607,8449.44
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,44566,1689.89
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,C,401GLB,10139.33
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,411THC,9842.38
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,C,707,8201.98
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,C,44571,1640.40
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,D,6758,550.30
000034,INV2025-00034,Sales invoice to Everest Distribution,01/04/2025,C,5124,550.30
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,D,2808,11073.08
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,D,341,10462.16
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,C,164,21535.24
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,D,607,3444.37
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,D,44566,688.87
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,C,401NEX,4133.24
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,D,411THC,18305.53
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,C,701,15254.61
000035,INV2025-00035,Sales invoice to Everest Distribution,12/03/2025,C,44571,3050.92
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,D,21358,6700.42
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,D,3351,1317.14
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,C,164,8017.56
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,D,6152,1905.44
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,D,44562,381.09
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,C,401HBR,2286.53
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,D,411VLA,2822.33
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,C,706,2351.94
000036,INV2025-00036,Sales invoice to Timberline SA,28/02/2025,C,44571,470.39
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,D,21158,10226.30
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,D,3411,6755.55
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,C,161,16981.85
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,D,601,955.99
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,D,44562,191.20
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,C,401LOG,1147.19
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,D,411DSA,18312.65
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,C,706,15260.54
000037,INV2025-00037,Sales invoice to Oasis Commerce,08/04/2025,C,44571,3052.11
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,261,5355.04
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,358,7184.48
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,C,167,12539.52
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,6152,4689.34
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,44562,937.87
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,C,401SYS,5627.21
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,411QYM,13818.44
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,C,707,11515.37
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,C,44571,2303.07
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,D,661,22.48
000038,INV2025-00038,Sales invoice to Nimbus Clients,31/01/2025,C,5121,22.48
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,D,2382,10981.19
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,D,34,7335.17
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,C,165,18316.36
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,D,411GBO,4679.87
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,C,701,3899.89
000039,INV2025-00039,Sales invoice to Indigo Market,08/11/2025,C,44571,779.98
000040,,Initial equipment and inventory setup,20/07/2025,D,27685,11491.44
000040,,Initial equipment and inventory setup,20/07/2025,D,393,9525.61
000040,,Initial equipment and inventory setup,20/07/2025,C,164,21017.05
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,D,2155,5193.41
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,D,3921,4714.14
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,C,1061,9907.55
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,D,411GCZ,22188.85
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,C,701,18490.71
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,C,44571,3698.14
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,D,6618,167.94
000041,INV2025-00041,Sales invoice to Juniper Shop,22/12/2025,C,531,167.94
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,D,27682,13201.66
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,D,3211,8861.63
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,C,1061,22063.29
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,D,6061,3705.27
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,D,44562,741.05
000042,INV2025-00042,Goods purchase from Forest Supplies,21/08/2025,C,401ELT,4446.32
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,D,279,17925.47
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,D,3311,9137.72
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,C,108,27063.19
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,D,6061,4651.49
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,D,44566,930.30
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,C,401LOG,5581.79
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,D,5121,7071.32
000043,INV2025-00043,Goods purchase from Atlas Cleaning,04/10/2025,C,772,7071.32
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,D,21351,13456.94
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,D,3452,10466.36
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,C,168,23923.30
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,D,6226,8865.05
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,D,44562,1773.01
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,C,401ZEP,10638.06
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,D,411INK,6888.35
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,C,703,5740.29
000044,INV2025-00044,Sales invoice to Yonder Commerce,17/01/2025,C,44571,1148.06
000045,,Bank fees charged by Banque Meridian,05/04/2025,D,211,11186.38
000045,,Bank fees charged by Banque Meridian,05/04/2025,D,3955,11015.20
000045,,Bank fees charged by Banque Meridian,05/04/2025,C,108,22201.58
000045,,Bank fees charged by Banque Meridian,05/04/2025,D,666,169.10
000045,,Bank fees charged by Banque Meridian,05/04/2025,C,512,169.10
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,D,21355,13041.35
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,D,3267,10217.26
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,C,161,23258.61
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,D,411XPL,7624.79
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,C,702,6353.99
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,C,44571,1270.80
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,D,667,117.27
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,C,512,117.27
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,D,6714,6945.80
000046,INV2025-00046,Sales invoice to Nimbus Clients,16/11/2025,C,5121,6945.80
000047,INV2025-00047,Service expense from River Construction,02/04/2025,D,296,6220.66
000047,INV2025-00047,Service expense from River Construction,02/04/2025,D,3211,4950.58
000047,INV2025-00047,Service expense from River Construction,02/04/2025,C,161,11171.24
000047,INV2025-00047,Service expense from River Construction,02/04/2025,D,6226,2829.51
000047,INV2025-00047,Service expense from River Construction,02/04/2025,D,44562,565.90
000047,INV2025-00047,Service expense from River Construction,02/04/2025,C,401HBR,3395.41
000048,INV2025-00048,Sales invoice to Kitecraft Ltd,01/06/2025,D,27682,10332.67
000048,INV2025-00048,Sales invoice to Kitecraft Ltd,01/06/2025,D,335,9543.12
